Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
AADACL3	ENSG00000188984	Q5VUY0	Arylacetamide deacetylase like 3	Evidence at transcript level	Tissue enhanced	NA	placenta: 1.6;skin 1: 1.2	ADCL3_HUMAN	46155	2	126767	2	0	NA	NA	NA
AADACL4	ENSG00000204518	Q5VUY2	Arylacetamide deacetylase like 4	No human protein/transcript evidence	Not detected	NA		ADCL4_HUMAN	46082	2	343066	3	0	NA	NA	NA
AADAT	ENSG00000109576	Q8N5Z0	Aminoadipate aminotransferase	Evidence at protein level	Tissue enriched	5	liver: 67.6	AADAT_HUMAN	47352	20	51166	27	0	NA	NA	NA
AAED1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AAGAB	ENSG00000103591	Q6PD74	Alpha and gamma adaptin binding protein	Evidence at protein level	Low tissue specificity	NA		AAGAB_HUMAN	34594	14	79719	45	1	NA	NA	NA
AAK1	ENSG00000115977	Q2M2I8	AP2 associated kinase 1	Evidence at protein level	Tissue enhanced	NA	parathyroid gland: 90.3	AAK1_HUMAN	103885	46	22848	69	1	NA	NA	NA
AAMDC	ENSG00000087884	Q9H7C9	Adipogenesis associated Mth938 domain containing	Evidence at protein level	Tissue enhanced	NA	skeletal muscle: 662.9	AAMDC_HUMAN	13332	11	28971	24	5	NA	NA	NA
AAMP	ENSG00000127837	Q13685	Angio associated migratory cell protein	Evidence at protein level	Low tissue specificity	NA		AAMP_HUMAN	46751	17	14	56	2	NA	NA	NA
AANAT	ENSG00000129673	Q16613	Aralkylamine N-acetyltransferase	Evidence at protein level	Tissue enhanced	NA	retina: 11.1;testis: 4.7	SNAT_HUMAN	23344	33	15	45	0	NA	NA	NA
AAR2	ENSG00000131043	Q9Y312	AAR2 splicing factor	Evidence at transcript level	Low tissue specificity	NA		AAR2_HUMAN	43472	4	25980	57	0	NA	NA	NA
AARD	ENSG00000205002	Q4LEZ3	Alanine and arginine rich domain containing protein	Evidence at transcript level	Tissue enhanced	NA	testis: 22.7;urinary bladder: 7.8	AARD_HUMAN	17575	15	441376	4	0	NA	NA	NA
AARS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA
AARS1	ENSG00000090861	P49588	Alanyl-tRNA synthetase 1	Evidence at protein level	Low tissue specificity	NA		SYAC_HUMAN	106810	32	16	91	NA	NA	NA	NA
AARS2	ENSG00000124608	Q5JTZ9	Alanyl-tRNA synthetase 2, mitochondrial	Evidence at protein level	Low tissue specificity	NA		SYAM_HUMAN	107340	16	57505	60	0	NA	NA	NA
AARSD1	ENSG00000266967	Q9BTE6	Alanyl-tRNA synthetase domain containing 1	Evidence at protein level	Low tissue specificity	NA		AASD1_HUMAN	45480	12	80755	24	0	NA	NA	NA
AASDH	ENSG00000157426	Q4L235	Aminoadipate-semialdehyde dehydrogenase	Evidence at transcript level	Low tissue specificity	NA		ACSF4_HUMAN	122597	5	132949	13	0	NA	NA	NA
AASDHPPT	ENSG00000149313	Q9NRN7	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Evidence at transcript level	Low tissue specificity	NA		ADPPT_HUMAN	35776	29	60496	42	1	NA	NA	NA
AASS	ENSG00000008311	Q9UDR5	Aminoadipate-semialdehyde synthase	Evidence at protein level	Tissue enhanced	NA	liver: 44.7	AASS_HUMAN	102132	19	10157	42	2	NA	NA	NA
AATF	ENSG00000275700	Q9NY61	Apoptosis antagonizing transcription factor	Evidence at protein level	Low tissue specificity	NA		AATF_HUMAN	63133	46	26574	118	20	NA	NA	NA
AATK	ENSG00000181409	Q6ZMQ8	Apoptosis associated tyrosine kinase	Evidence at protein level	Tissue enriched	6	brain: 179.1	LMTK1_HUMAN	144569	16	9625	28	23	NA	NA	NA
ABAT	ENSG00000183044	P80404	4-aminobutyrate aminotransferase	Evidence at protein level	Tissue enhanced	NA	kidney: 134.6;liver: 348.5;pancreas: 139.5	GABT_HUMAN	56439	43	18	47	14	NA	NA	NA
ABCA1	ENSG00000165029	O95477	ATP binding cassette subfamily A member 1	Evidence at transcript level	Low tissue specificity	NA		ABCA1_HUMAN	254302	113	19	804	21	NA	NA	NA
ABCA10	ENSG00000154263	Q8WWZ4	ATP binding cassette subfamily A member 10	Evidence at transcript level	Tissue enhanced	NA	ovary: 18.4	ABCAA_HUMAN	175790	8	10349	11	5	NA	NA	NA
ABCA12	ENSG00000144452	Q86UK0	ATP binding cassette subfamily A member 12	Evidence at transcript level	Tissue enhanced	NA	breast: 5.8;skin 1: 20.9	ABCAC_HUMAN	293237	58	26154	49	0	NA	NA	NA
ABCA13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
ABCA2	ENSG00000107331	Q9BZC7	ATP binding cassette subfamily A member 2	Evidence at protein level	Tissue enriched	22	brain: 515.5	ABCA2_HUMAN	269833	68	20	58	2	NA	NA	NA
ABCA3	ENSG00000167972	Q99758	ATP binding cassette subfamily A member 3	Evidence at protein level	Tissue enhanced	NA	lung: 92.0	ABCA3_HUMAN	191362	56	21	106	3	HGNC:33	Respiratory system	UBERON:0001004
ABCA4	ENSG00000198691	P78363	ATP binding cassette subfamily A member 4	Evidence at protein level	Group enriched	30	choroid plexus: 116.3;retina: 465.0	ABCA4_HUMAN	255944	44	24	296	5	NA	NA	NA
ABCA5	ENSG00000154265	Q8WWZ7	ATP binding cassette subfamily A member 5	Evidence at transcript level	Low tissue specificity	NA		ABCA5_HUMAN	186508	27	23461	28	0	NA	NA	NA
ABCA6	ENSG00000154262	Q8N139	ATP binding cassette subfamily A member 6	Evidence at protein level	Tissue enhanced	NA	liver: 78.6	ABCA6_HUMAN	184286	12	23460	22	4	NA	NA	NA
ABCA7	ENSG00000064687	Q8IZY2	ATP binding cassette subfamily A member 7	Evidence at protein level	Tissue enhanced	NA	bone marrow: 27.6;lymphoid tissue: 26.8;pituitary gland: 29.0	ABCA7_HUMAN	234350	60	10347	84	2	NA	NA	NA
ABCA8	ENSG00000141338	O94911	ATP binding cassette subfamily A member 8	Evidence at protein level	Low tissue specificity	NA		ABCA8_HUMAN	183677	21	10351	27	0	NA	NA	NA
ABCA9	ENSG00000154258	Q8IUA7	ATP binding cassette subfamily A member 9	Evidence at protein level	Low tissue specificity	NA		ABCA9_HUMAN	184362	8	10350	12	0	NA	NA	NA
ABCB1	ENSG00000085563	P08183	ATP binding cassette subfamily B member 1	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 102.7;intestine: 71.3	MDR1_HUMAN	141479	76	5243	2486	109	NA	NA	NA
ABCB10	ENSG00000135776	Q9NRK6	ATP binding cassette subfamily B member 10	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 60.7	ABCBA_HUMAN	79148	18	23456	50	0	NA	NA	NA
ABCB11	ENSG00000073734	O95342	ATP binding cassette subfamily B member 11	Evidence at protein level	Tissue enriched	13	liver: 81.5	ABCBB_HUMAN	146407	87	8647	163	7	NA	NA	NA
ABCB4	ENSG00000005471	P21439	ATP binding cassette subfamily B member 4	Evidence at protein level	Tissue enriched	16	liver: 124.2	MDR3_HUMAN	141523	57	5244	158	109	NA	NA	NA
ABCB5	ENSG00000004846	Q2M3G0	ATP binding cassette subfamily B member 5	Evidence at transcript level	Tissue enriched	9	epididymis: 26.6	ABCB5_HUMAN	138641	15	340273	68	2	NA	NA	NA
ABCB6	ENSG00000115657	Q9NP58	ATP binding cassette subfamily B member 6 (Langereis blood group)	Evidence at protein level	Low tissue specificity	NA		ABCB6_HUMAN	93886	72	10058	75	21	NA	NA	NA
ABCB7	ENSG00000131269	O75027	ATP binding cassette subfamily B member 7	Evidence at transcript level	Low tissue specificity	NA		ABCB7_HUMAN	82641	27	22	82	0	NA	NA	NA
ABCB8	ENSG00000197150	Q9NUT2	ATP binding cassette subfamily B member 8	Evidence at protein level	Low tissue specificity	NA		MITOS_HUMAN	79989	19	11194	38	0	NA	NA	NA
ABCB9	ENSG00000150967	Q9NP78	ATP binding cassette subfamily B member 9	Evidence at protein level	Tissue enhanced	NA	brain: 20.9;testis: 17.9	ABCB9_HUMAN	84475	56	23457	43	2	NA	NA	NA
ABCC1	ENSG00000103222	P33527	ATP binding cassette subfamily C member 1	Evidence at protein level	Low tissue specificity	NA		MRP1_HUMAN	171591	69	4363	424	97	NA	NA	NA
ABCC10	ENSG00000124574	Q5T3U5	ATP binding cassette subfamily C member 10	Evidence at transcript level	Low tissue specificity	NA		MRP7_HUMAN	161629	19	89845	40	2	NA	NA	NA
ABCC11	ENSG00000121270	Q96J66	ATP binding cassette subfamily C member 11	Evidence at transcript level	Tissue enriched	13	breast: 46.9	MRP8_HUMAN	154301	30	85320	62	41	NA	NA	NA
ABCC12	ENSG00000140798	Q96J65	ATP binding cassette subfamily C member 12	Evidence at transcript level	Tissue enriched	6	testis: 2.9	MRP9_HUMAN	152297	8	94160	17	2	NA	NA	NA
ABCC2	ENSG00000023839	Q92887	ATP binding cassette subfamily C member 2	Evidence at protein level	Tissue enhanced	NA	intestine: 40.6;liver: 122.7	MRP2_HUMAN	174207	47	1244	341	56	NA	NA	NA
ABCC3	ENSG00000108846	O15438	ATP binding cassette subfamily C member 3	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 59.6;liver: 50.8	MRP3_HUMAN	169343	38	8714	120	29	NA	NA	NA
ABCC4	ENSG00000125257	O15439	ATP binding cassette subfamily C member 4	Evidence at protein level	Tissue enhanced	NA	prostate: 41.5	MRP4_HUMAN	149527	69	10257	226	26	NA	NA	NA
ABCC5	ENSG00000114770	O15440	ATP binding cassette subfamily C member 5	Evidence at transcript level	Tissue enhanced	NA	choroid plexus: 143.7	MRP5_HUMAN	160660	46	10057	86	35	NA	NA	NA
ABCC6	ENSG00000091262	O95255	ATP binding cassette subfamily C member 6	Evidence at protein level	Tissue enriched	5	liver: 135.3	MRP6_HUMAN	164906	31	368	142	38	NA	NA	NA
ABCC8	ENSG00000006071	Q09428	ATP binding cassette subfamily C member 8	Evidence at transcript level	Group enriched	4	pancreas: 20.3;pituitary gland: 34.7	ABCC8_HUMAN	176992	51	6833	279	11	NA	NA	NA
ABCC9	ENSG00000069431	O60706	ATP binding cassette subfamily C member 9	Evidence at transcript level	Tissue enhanced	NA	liver: 45.6	ABCC9_HUMAN	174223	40	10060	83	0	HGNC:60	Heart	UBERON:0000948
ABCD1	ENSG00000101986	P33897	ATP binding cassette subfamily D member 1	Evidence at transcript level	Low tissue specificity	NA		ABCD1_HUMAN	82937	100	215	158	30	NA	NA	NA
ABCD2	ENSG00000173208	Q9UBJ2	ATP binding cassette subfamily D member 2	Evidence at transcript level	Tissue enhanced	NA	adipose tissue: 15.9;brain: 9.1	ABCD2_HUMAN	83233	44	225	33	1	NA	NA	NA
ABCD3	ENSG00000117528	P28288	ATP binding cassette subfamily D member 3	Evidence at protein level	Tissue enhanced	NA	liver: 127.7	ABCD3_HUMAN	75476	68	5825	141	3	NA	NA	NA
ABCD4	ENSG00000119688	O14678	ATP binding cassette subfamily D member 4	Evidence at transcript level	Low tissue specificity	NA		ABCD4_HUMAN	68597	37	5826	32	0	NA	NA	NA
ABCE1	ENSG00000164163	P61221	ATP binding cassette subfamily E member 1	Evidence at protein level	Low tissue specificity	NA		ABCE1_HUMAN	67314	20	6059	134	1	NA	NA	NA
ABCF1	ENSG00000204574	Q8NE71	ATP binding cassette subfamily F member 1	Evidence at protein level	Tissue enhanced	NA	skeletal muscle: 107.9	ABCF1_HUMAN	95926	12	23	119	8	NA	NA	NA
ABCF2	ENSG00000033050	Q9UG63	ATP binding cassette subfamily F member 2	Evidence at protein level	Low tissue specificity	NA		ABCF2_HUMAN	71290	2	10061	107	16	NA	NA	NA
ABCF2	ENSG00000033050	Q9UG63	ATP binding cassette subfamily F member 2	Evidence at protein level	Low tissue specificity	NA		ABCF2_HUMAN	71290	2	10061	107	16	NA	NA	NA
ABCF3	ENSG00000161204	Q9NUQ8	ATP binding cassette subfamily F member 3	Evidence at transcript level	Low tissue specificity	NA		ABCF3_HUMAN	79745	9	55324	43	0	NA	NA	NA
ABCG1	ENSG00000160179	P45844	ATP binding cassette subfamily G member 1	Evidence at protein level	Low tissue specificity	NA		ABCG1_HUMAN	75592	61	9619	176	18	NA	NA	NA
ABCG2	ENSG00000118777	Q9UNQ0	ATP binding cassette subfamily G member 2 (Junior blood group)	Evidence at protein level	Tissue enhanced	NA	intestine: 89.1	ABCG2_HUMAN	72314	57	9429	889	75	NA	NA	NA
ABCG4	ENSG00000172350	Q9H172	ATP binding cassette subfamily G member 4	Evidence at protein level	Tissue enriched	4	retina: 52.4	ABCG4_HUMAN	71896	33	64137	35	0	NA	NA	NA
ABCG5	ENSG00000138075	Q9H222	ATP binding cassette subfamily G member 5	Evidence at transcript level	Group enriched	69	intestine: 48.2;liver: 62.5	ABCG5_HUMAN	72504	41	64240	119	1	NA	NA	NA
ABCG8	ENSG00000143921	Q9H221	ATP binding cassette subfamily G member 8	Evidence at protein level	Group enriched	39	intestine: 31.7;liver: 63.9	ABCG8_HUMAN	75679	43	64241	129	0	NA	NA	NA
ABHD1	ENSG00000143994	Q96SE0	Abhydrolase domain containing 1	Evidence at transcript level	Tissue enriched	6	testis: 21.8	ABHD1_HUMAN	45207	10	84696	9	0	NA	NA	NA
ABHD10	ENSG00000144827	Q9NUJ1	Abhydrolase domain containing 10, depalmitoylase	Evidence at protein level	Low tissue specificity	NA		ABHDA_HUMAN	33933	16	55347	43	0	NA	NA	NA
ABHD11	ENSG00000106077	Q8NFV4	Abhydrolase domain containing 11	Evidence at protein level	Low tissue specificity	NA		ABHDB_HUMAN	34690	6	83451	28	0	NA	NA	NA
ABHD12	ENSG00000100997	Q8N2K0	Abhydrolase domain containing 12, lysophospholipase	Evidence at transcript level	Low tissue specificity	NA		ABD12_HUMAN	45097	30	26090	49	2	NA	NA	NA
ABHD12B	ENSG00000131969	Q7Z5M8	Abhydrolase domain containing 12B	Evidence at transcript level	Group enriched	7	brain: 6.2;retina: 15.7;skin 1: 10.6	AB12B_HUMAN	40776	8	145447	10	0	NA	NA	NA
ABHD13	ENSG00000139826	Q7L211	Abhydrolase domain containing 13	Evidence at transcript level	Low tissue specificity	NA		ABHDD_HUMAN	38548	6	84945	10	0	NA	NA	NA
ABHD14A	ENSG00000248487	Q9BUJ0	Abhydrolase domain containing 14A	Evidence at protein level	Low tissue specificity	NA		ABHEA_HUMAN	29765	3	25864	15	0	NA	NA	NA
ABHD14A-ACY1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
ABHD14B	ENSG00000114779	Q96IU4	Abhydrolase domain containing 14B	Evidence at protein level	Low tissue specificity	NA		ABHEB_HUMAN	22346	18	84836	26	3	NA	NA	NA
ABHD15	ENSG00000168792	Q6UXT9	Abhydrolase domain containing 15	Evidence at transcript level	Tissue enhanced	NA	liver: 26.4	ABH15_HUMAN	51771	10	116236	11	0	NA	NA	NA
ABHD16A	ENSG00000204427	O95870	Abhydrolase domain containing 16A, phospholipase	Evidence at transcript level	Low tissue specificity	NA		ABHGA_HUMAN	63243	74	7920	43	1	NA	NA	NA
ABHD16B	ENSG00000183260	Q9H3Z7	Abhydrolase domain containing 16B	Evidence at protein level	Tissue enhanced	NA	testis: 16.0	ABHGB_HUMAN	52555	8	140701	10	1	NA	NA	NA
ABHD17A	ENSG00000129968	Q96GS6	Abhydrolase domain containing 17A, depalmitoylase	Evidence at transcript level	Low tissue specificity	NA		AB17A_HUMAN	33990	27	81926	21	0	NA	NA	NA
ABHD17B	ENSG00000107362	Q5VST6	Abhydrolase domain containing 17B, depalmitoylase	Evidence at transcript level	Low tissue specificity	NA		AB17B_HUMAN	32215	21	51104	15	0	NA	NA	NA
ABHD17C	ENSG00000136379	Q6PCB6	Abhydrolase domain containing 17C, depalmitoylase	Evidence at transcript level	Tissue enhanced	NA	intestine: 65.9	AB17C_HUMAN	35831	31	58489	13	0	NA	NA	NA
ABHD18	ENSG00000164074	Q0P651	Abhydrolase domain containing 18	Evidence at protein level	Low tissue specificity	NA		ABD18_HUMAN	46954	1	80167	5	0	NA	NA	NA
ABHD2	ENSG00000140526	P08910	Abhydrolase domain containing 2, acylglycerol lipase	Evidence at transcript level	Low tissue specificity	NA		ABHD2_HUMAN	48315	29	11057	23	0	NA	NA	NA
ABHD3	ENSG00000158201	Q8WU67	Abhydrolase domain containing 3, phospholipase	Evidence at protein level	Low tissue specificity	NA		ABHD3_HUMAN	46009	19	171586	14	0	NA	NA	NA
ABHD4	ENSG00000100439	Q8TB40	Abhydrolase domain containing 4, N-acyl phospholipase B	Evidence at transcript level	Low tissue specificity	NA		ABHD4_HUMAN	38794	24	63874	12	0	NA	NA	NA
ABHD5	ENSG00000011198	Q8WTS1	Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	Evidence at protein level	Low tissue specificity	NA		ABHD5_HUMAN	39096	43	51099	72	45	NA	NA	NA
ABHD6	ENSG00000163686	Q9BV23	Abhydrolase domain containing 6, acylglycerol lipase	Evidence at transcript level	Tissue enhanced	NA	liver: 65.4	ABHD6_HUMAN	38331	29	57406	30	0	NA	NA	NA
ABHD8	ENSG00000127220	Q96I13	Abhydrolase domain containing 8	Evidence at protein level	Tissue enhanced	NA	brain: 58.3	ABHD8_HUMAN	47331	8	79575	14	0	NA	NA	NA
ABI1	ENSG00000136754	Q8IZP0	Abl interactor 1	Evidence at protein level	Low tissue specificity	NA		ABI1_HUMAN	55081	63	10006	119	4	NA	NA	NA
ABI2	ENSG00000138443	Q9NYB9	Abl interactor 2	Evidence at protein level	Low tissue specificity	NA		ABI2_HUMAN	55663	132	10152	64	0	NA	NA	NA
ABI3	ENSG00000108798	Q9P2A4	ABI family member 3	Evidence at protein level	Tissue enhanced	NA	lymphoid tissue: 70.1	ABI3_HUMAN	39035	108	51225	37	0	NA	NA	NA
ABI3BP	ENSG00000154175	Q7Z7G0	ABI family member 3 binding protein	Evidence at transcript level	Low tissue specificity	NA		TARSH_HUMAN	118642	11	25890	26	1	HGNC:17265	Brain	UBERON:0000955
ABITRAM	ENSG00000119328	Q9NX38	Actin binding transcription modulator	Evidence at transcript level	Low tissue specificity	NA		ABITM_HUMAN	20378	25	54942	13	NA	NA	NA	NA
ABL1	ENSG00000097007	P00519	ABL proto-oncogene 1, non-receptor tyrosine kinase	Evidence at protein level	Low tissue specificity	NA		ABL1_HUMAN	122873	284	25	871	74	NA	NA	NA
ABL2	ENSG00000143322	P42684	ABL proto-oncogene 2, non-receptor tyrosine kinase	Evidence at protein level	Low tissue specificity	NA		ABL2_HUMAN	128343	58	27	117	42	NA	NA	NA
ABLIM1	ENSG00000099204	O14639	Actin binding LIM protein 1	Evidence at protein level	Low tissue specificity	NA		ABLM1_HUMAN	87688	17	3983	84	8	HGNC:78	Thoracic thymus	UBERON:0002370
ABLIM2	ENSG00000163995	Q6H8Q1	Actin binding LIM protein family member 2	Evidence at protein level	Group enriched	7	skeletal muscle: 206.5;tongue: 74.1	ABLM2_HUMAN	67812	8	84448	21	0	NA	NA	NA
ABLIM3	ENSG00000173210	O94929	Actin binding LIM protein family member 3	Evidence at protein level	Tissue enhanced	NA	liver: 116.8	ABLM3_HUMAN	77802	19	22885	30	0	NA	NA	NA
ABO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA	NA
ABR	ENSG00000159842	Q12979	ABR activator of RhoGEF and GTPase	Evidence at protein level	Low tissue specificity	NA		ABR_HUMAN	97598	20	29	46	3	NA	NA	NA
ABRA	ENSG00000174429	Q8N0Z2	Actin binding Rho activating protein	Evidence at transcript level	Tissue enhanced	NA	heart muscle: 30.0;skeletal muscle: 146.3;tongue: 64.3	ABRA_HUMAN	43117	13	137735	24	16	NA	NA	NA
ABRACL	ENSG00000146386	Q9P1F3	ABRA C-terminal like	Evidence at protein level	Low tissue specificity	NA		ABRAL_HUMAN	9056	1	58527	14	0	NA	NA	NA
ABRAXAS1	ENSG00000163322	Q6UWZ7	Abraxas 1, BRCA1 A complex subunit	Evidence at protein level	Low tissue specificity	NA		ABRX1_HUMAN	46663	64	84142	61	0	NA	NA	NA
ABRAXAS2	ENSG00000165660	Q15018	Abraxas 2, BRISC complex subunit	Evidence at protein level	Low tissue specificity	NA		ABRX2_HUMAN	46901	27	23172	55	0	NA	NA	NA
ABT1	ENSG00000146109	Q9ULW3	Activator of basal transcription 1	Evidence at transcript level	Low tissue specificity	NA		ABT1_HUMAN	31079	33	29777	38	0	NA	NA	NA
ABTB1	ENSG00000114626	Q969K4	Ankyrin repeat and BTB domain containing 1	Evidence at protein level	Low tissue specificity	NA		ABTB1_HUMAN	53979	18	80325	29	6	NA	NA	NA
ABTB2	ENSG00000166016	Q8N961	Ankyrin repeat and BTB domain containing 2	Evidence at protein level	Low tissue specificity	NA		ABTB2_HUMAN	113656	3	25841	20	0	NA	NA	NA
AC001226.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC002094.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC002310.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC002996.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC003002.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC003002.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC003002.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC003006.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004076.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004080.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004223.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004233.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004556.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004593.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004691.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004754.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004832.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004922.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC004997.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC005154.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC005324.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC005551.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC005697.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC005702.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC005726.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC005837.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC006486.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC006518.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC006538.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007040.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007325.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007325.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007325.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007326.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007846.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007906.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC007998.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
AC008162.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
